movie_id,movie_name,director,star,genre
tt23752846,Artek. Bolshoe puteshestvie. 1812,Karen Zaharov,Mikhail Galustyan#Aleksey Onezhen#Lyudmila Artemeva#Liza Moryak,adventure
tt20854202,Requiem of Dreams,John-Paul Casella,Sophia Casella#Lev Kozlovsky#Gianna Ray#Kameron Ray,adventure
tt14824600,The Lord of the Rings: The War of the Rohirrim,Kenji Kamiyama,Brian Cox#Miranda Otto#Shaun Dooley#Luke Pasqualino,animation
tt18259086,Sonic the Hedgehog 3,Jeff Fowler,Idris Elba#James Marsden#Ben Schwartz#Colleen O'Shaughnessey,animation
tt13186482,Mufasa: The Lion King,Barry Jenkins,Seth Rogen#Billy Eichner#Kelvin Harrison Jr.#Aaron Pierre,animation
tt21692408,Kung Fu Panda 4,James Hong#Angelina Jolie#Jack Black#Lucy Liu,,animation
tt5779228,Garfield,Mark Dindal,Hannah Waddingham#Chris Pratt#Brett Goldstein#Nicholas Hoult,animation
tt4900148,Elio,Adrian Molina,America Ferrera#Yonas Kibreab,animation
tt22022452,Inside Out 2,Kelsey Mann,Diane Lane#Amy Poehler#Phyllis Smith#Lewis Black,animation
tt5834410,The Tiger's Apprentice,Raman Hui#Yong Duk Jhun#Paul Watling,Michelle Yeoh#Henry Golding#Sandra Oh#Leah Lewis,animation
tt0427340,Masters of the Universe,Aaron Nee#Adam Nee,Kyle Allen,animation
tt16360004,Spider-Man: Beyond the Spider-Verse,Joaquim Dos Santos#Kemp Powers#Justin K. Thompson,Shameik Moore,animation
tt7510222,Despicable Me 4,Chris Renaud#Patrick Delage,Steve Carell#Kristen Wiig#Miranda Cosgrove#Steve Coogan,animation
tt1117392,The Ark and the Aardvark,John Stevenson,Aubrey Plaza#Jenny Slate#Miles Teller#Stephen Merchant,animation
tt5006214,Nicktoons,Jared Hess,Amy Poehler#Dee Bradley Baker#Richard Steven Horvitz#Mason Cotton,animation
tt1167480,Flanimals,,,animation
tt5821450,Hump,Peter Dodd#Amin Matalqa,Simon Pegg#Gaten Matarazzo#Ramy Youssef,animation
tt11846550,Kayara,Cesar Zelada,,animation
tt26469339,The Zone Action: The Movie,Sarah Podemski#Dan Petronijevic#Rachel Wilson#Scott McCord,,animation
tt13036100,Broken Glass,Neil Mikes#Hazel K.,Gwyneth Irene#Garry Naville#Asa Obed#Chronox,animation
tt25786022,Rafadan Tayfa 4,Ismail Fidan,,animation
tt26425678,Alien Interloper the Movie,Cee CjayLay,Cee CjayLay#Shannon Cassidy#Lennon Cassidy,animation
tt23456990,Kittened,Albert Pereira-Lazaro,,animation
tt25786080,Tay 2,Nurullah Yenihan,,animation
tt26763526,Piril: Sayilarin Gizemi,Neslihan Bayram Sacihan,Fatih Özkul#Mustafa Oral#Banu Altay#Ekinsu Karaata,animation
tt25786014,Taktik 6,,,animation
tt26445518,Full Story Complete Pass,Rajapeno,,animation
tt25786010,Ekip Siberay,,,animation
tt27003487,Quacker,Robert Cullen,,animation
tt8521778,Untitled Bob Marley Biopic,Reinaldo Marcus Green,James Norton#Lashana Lynch#Kingsley Ben-Adir#Michael Gandolfini,biography
tt11858066,Perfect,Olivia Wilde,Mckenna Grace#Thomasin McKenzie,biography
tt25049058,The Queen of Heaven,Yiannis Stravolaimos,John Fiore#Yorgos Karamihos#Elena Thomopoulou#Kostis Rampavilas,biography
tt3635828,Bogie and Bacall,Doug Hutchison#Tracy Reiner#Taylor Tunes#Emily Keefe,,biography
tt11608116,Between Time and Space: E.S.T.,Nick Peterson,Jonathan Cross#Old-Nick#John Waterhouse#Jenia Emmanuelle,biography
tt15585058,TINO THE NEW MICHELANGELO,Giuseppe Ferlito,,biography
tt11681316,The Israelites,Nick Peterson,Old-Nick#Alex Altman,biography
tt18040604,Boy,Serena Khan,Lubna Zafar#Johnny Cubberley#Saryina Hashmi,biography
tt22394800,Cem Karaca,,,biography
tt14134526,Petra Reborn,Kenny Saylors#Kyle Saylors,,biography
tt11315808,Joker: Folie à Deux,Todd Phillips,Zazie Beetz#Brendan Gleeson#Joaquin Phoenix#Catherine Keener,crime
tt20969586,Thunderbolts,Jake Schreier,Harrison Ford#Florence Pugh#Julia Louis-Dreyfus#Olga Kurylenko,crime
tt9413018,Sister Act 3: Kicking the Habit,Tim Federle,Kathy Najimy#Keke Palmer#Whoopi Goldberg#Wendy Makkena,crime
tt14364480,Knives Out 3,Rian Johnson,Daniel Craig,crime
tt11230960,Kaithi 2,Lokesh Kanagaraj,Karthi#Arjun Das#Harish Uthaman#Narain,crime
tt17504980,Deadly Games,Ojan Missaghi,Nazlie Mojiri#Vanessa Angel#Gilles Marini#Emelina Adams,crime
tt10826608,Redland,,,crime
tt22488840,Into Pitch Black,Mark Schoonmaker,Garrett Hines,crime
tt15090554,Dual,Mark Schoonmaker,Johanna Watts#Steve Wilcox#Garrett Hines#Jamie Pasquinelli,crime
tt14708272,Blood Streams,Derek Wayne Johnson,Yuji Okumoto#Andre Gower#Ryan Lambert#Han Soto,crime
tt15352048,Reloaded 2,George Tounas,Lili Rich#George Tounas#Joanna Kalafatis#Karel Curras,crime
tt23750558,A Womanizer's Fate,Tez Dixon,Tuesday Knight#Tez Dixon#Maham Abid#Stephanie Falciano,crime
