"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt3625930","Kiss & Cry","2011","-","90 min","7.5","Jaco Van Dormael","Michèle-Anne De Mey#Gregory Grosjean#Jaco Van Dormael#Frauke Marien","78","-"
"tt0182221","J'ai rencontré le Père Noël","1984","G","79 min","3","Christian Gion","Karen Chéryl#Armand Meffre#Emeric Chapuis#Alexia Haudot","259","-"
"tt0058689","Hercules vs. the Giant Warriors","1964","Not Rated","94 min","4.4","Alberto De Martino","Dan Vadis#Marilù Tolo#Pierre Cressoy#Piero Lulli","164","-"
"tt0177394","The Wolves of Kromer","1998","Not Rated","82 min","5.9","Will Gould","Boy George#James Layton#Lee Williams#Margaret Towner","766","11057"
"tt3355612","Pan si dong","1927","-","59 min","6.8","Duyu Dan","Mingzhu Yin#Wenchao Wu#Jiang Meikang#Zhou Hongquan","86","-"
"tt0121387","Snow White","1984","-","90 min","7.7","József Nepp","Ferenc Kállai#János Körmendi#Ilona Béres#Judit Halász","836","-"
"tt0237400","Legend of Crystania: The Motion Picture","1995","-","85 min","5.8","Ryûtarô Nakamura","Hikaru Midorikawa#Mitsuki Yayoi#Sakiko Tamagawa#Kiyoshi Kobayashi","250","-"
"tt5940384","Bilu: A demon within","2017","-","128 min","6.9","Indrasis Acharya","Anirban Banerjee#Anjishnu Banerjee#Koneenica Banerjee#Arijit Chackrabarty","253","-"
"tt1977844","Laal Paree","1991","-","-","6.6","Hannif Chippa","Aditya Pancholi#Jaaved Jaaferi#Janhavi#Sohani","21","-"
"tt5302150","Kikoriki: Legend of the Golden Dragon","2017","PG","79 min","5.5","Denis Chernov","Wayne Grayson#Peter Linz#Mike Pollock#Alyson Leigh Rosenfeld","346","-"
"tt0377633","Cheonnyeon ho","2003","Not Rated","92 min","5.9","Kwang-hoon Lee","Jun-ho Jeong#Hyo-jin Kim#Hye-ri Kim#Won-seok Choi","862","-"
"tt0780461","The 4th Dimension","2006","Not Rated","82 min","5.6","Tom Mattera#David Mazzoni","Louis Morabito#Miles Williams#Karen Peakes#Kate LaRoss","197","-"
"tt6352534","Eve N' God: This Female is Not Yet Rated (TM)","2019","-","115 min","6.8","Cali Lili","Wings Hauser#Cali Lili#Candace Burney#Isriya McFillin","11","-"
"tt5528858","Water of Love","-","-","-","-","Fabien Martorell#Ileana D. Vasquez","Willeke van Ammelrooy#Anas El Baz#Soumaya Akaaboune#Fay Xyla","-","-"
"tt6083972","Monkey Master","-","-","-","-","-","-","-","-"
"tt0375514","12 B","2001","-","150 min","6.2","Jeeva","Shaam#Simran#Jyotika#Vivek","403","-"
"tt0254325","Comedy of Innocence","2000","-","100 min","6.5","Raúl Ruiz","Isabelle Huppert#Jeanne Balibar#Charles Berling#Edith Scob","923","-"
"tt1876360","Night Across the Street","2012","Not Rated","110 min","6.1","Raúl Ruiz","Christian Vadim#Sergio Hernández#Santiago Figueroa#Valentina Vargas","505","-"
"tt0326101","Saint Seiya: Warriors of the Final Holy Battle","1989","Not Rated","45 min","6.5","Masayuki Akehi","Tôru Furuya#Hirotaka Suzuoki#Kôichi Hashimoto#Ryô Horikawa","960","-"
"tt0275668","Hercules the Avenger","1965","Not Rated","90 min","5","Maurizio Lucidi","Reg Park#Gia Sandri#Giovanni Cianfriglia#Adriana Ambesi","154","-"
"tt0456549","Mr Ya Miss","2005","-","136 min","3.8","Antara Mali#Satchit Puranik","Antara Mali#Riteish Deshmukh#Divya Dutta#Aftab Shivdasani","518","-"
"tt3477070","The Rangers","2016","-","68 min","5.8","Ron Newcomb","Josh Murray#Nicola Posener#John Wells#Dale Miller","79","-"
"tt0051439","Madame White Snake","1956","-","103 min","6.8","Shirô Toyoda","Ryô Ikebe#Shirley Yamaguchi#Kaoru Yachigusa#Kichijirô Ueda","108","-"
"tt8860946","Tonde Saitama","2019","-","106 min","6.3","Hideki Takeuchi","Fumi Nikaidô#Gackt#Yûsuke Iseya#Brother Tom","777","-"
"tt2072164","Happy Magic","2011","Not Rated","100 min","4.6","Wilson Yip","Chun Wu#Raymond Pak-Ming Wong#Jing Wu#Karena Ng","378","-"
"tt0287811","You ling ren jian","2001","Unrated","101 min","5.6","Ann Hui","Eason Chan#Shu Qi#Anthony Chau-Sang Wong#Sam Lee","414","-"
"tt5057300","Doktor Proktors tidsbadekar","2015","-","95 min","5.6","Arild Fröhlich","Emily Glaister#Eilif Hellum Noraker#Gard B. Eidsvold#Kristin Grue","224","-"
"tt13032562","Cemetery of Lost Souls","2020","-","134 min","5.9","Rodrigo Aragão","Carol Aragão#Renato Chocair#Diego Garcias#Francisco Gaspar","190","-"
"tt1538210","Aao Wish Karein","2009","-","140 min","5.2","Glen Barreto","Aftab Shivdasani#Aamna Sharif#Rati Agnihotri#Tiku Talsania","638","-"
"tt7682340","Zhak","-","-","-","-","Dalip Gashi#Ilirjana Bejta","Dukagjin Podrimaj","-","-"
"tt8684538","Perpetual Motion","2021","-","-","-","Carlo Liconti","Tenika Davis#Sia Cheon#Andreas Apergis#Rob Raco","-","-"
"tt0161981","Slayers","1995","Not Rated","63 min","6.8","Hiroshi Watanabe#Kazuo Yamazaki","Megumi Hayashibara#Maria Kawamura#Yuri Shiratori#Mahito Tsujimura","883","-"
"tt0090722","Bi gui zhuo","1986","-","89 min","6","Ngai Choi Lam","Joey Wang#Shu-Yuan Hsu#Joyce Godenzi#Jing Wong","130","-"
"tt5894410","Slugterra: Into the Shadows","2016","-","-","6.5","Michael Dowding#Asaph Fipke#Andrew Duncan","Shannon Chan-Kent#Ian James Corlett#Trevor Devall#Brian Drummond","131","-"
"tt3949936","The Secret Society of Souptown","2015","-","95 min","6.6","Margus Paju","Olivia Viikant#Arabella Antons#Hugo Soosaar#Karl Jakob Vibur","603","-"
"tt0404448","Soudamini","2003","-","-","5.2","P. Gopikumar","Jagadish#Jayakrishnan#Kalamandalam Kesavan#Krishna","25","-"
"tt0071867","Mr. Sycamore","1975","G","87 min","5.5","Pancho Kohner","Jason Robards#Sandy Dennis#Jean Simmons#Robert Easton","179","-"
"tt0064667","The Mighty Gorga","1969","G","84 min","2.9","David L. Hewitt","Anthony Eisley#Megan Timothy#Scott Brady#Kent Taylor","354","-"
"tt8286670","Calamity of a Zombie Girl","2018","-","79 min","5.4","Hideaki Iwami","Saori Hayami#Mao Ichimichi#Yurika Kubo#Takahiro Miwa","89","-"
"tt0405756","Fuera del cuerpo","2004","-","104 min","6","Vicente Peñarrocha","Gustavo Salmerón#Goya Toledo#Jose Coronado#Juan Sanz","269","-"
"tt0116092","The Devil Takes a Holiday","1996","Not Rated","102 min","6.4","Leon Corcos","Joel Avalos#George Castillo#Sarah Scott Davis#Gabriel Dell Jr.","31","-"
"tt4194608","ReRun","2018","-","91 min","5.3","Alyssa Rallo Bennett","Christopher Lloyd#Rishon Salters#Robin S. Walker#Danielle Clavell","48","-"
"tt8357336","The Hill and the Hole","2019","-","90 min","4","Bill Darmon#Christopher Ernst","Liam Kelly#Adam Gorightly#Kristen Brody#Brandt Adams","178","-"
"tt1621939","Shards of Glass","2009","-","73 min","9.4","Lisandro Boccacci","Lisandro Boccacci#Mariah Harnish#Josh C. Jones#Jim Runyan","22","-"
"tt0144574","Red Lipstick","2000","Unrated","90 min","6.6","Alexandra King","Steven Polito#Miss Understood#Debbie Harry#Jane Lynch","89","-"
"tt0106631","A Man of Nasty Spirit","1993","-","92 min","4.8","Chun-Liang Chen","Pauline Chan#Chui Lan Chan#Chung-Kun Teng#Kuan-Wu Lung","26","-"
"tt4718796","The League of Extraordinary Gentlemen","-","-","-","-","-","-","-","-"
"tt14410024","Mermaids' Lament","2023","-","-","-","G.B. Hajim","Dayva Summer Escobar#Justina Mattos#Michael Gregory#Alya Joy Kanehailua","-","-"
"tt0058173","Day-Dream","1964","-","92 min","6.2","Tetsuji Takechi","Kanako Michi#Akira Ishihama#Chôjûrô Hanakawa#Yasuko Matsui","244","-"
"tt0356577","Elysium","2003","-","85 min","3.9","Jae-woong Kwon","Alexandra Boyd#Lee Cherry#Justin Cowden#Hilary Huber","324","-"
"tt3764198","Hibiscus","2020","-","78 min","6.4","Tawan Bazemore","Brandon Fisher#Mia Topalian#Brian Fitzpatrick#Charlie Farr","432","-"
"tt9013878","Unicorn","2021","-","59 min","7.2","Tathagata Mukherjee","Chiranjit#Raajhorshee De#Debolina Dutta","119","-"
"tt4527268","God of Thunder","2015","PG-13","91 min","2.4","Thomas Shapiro","Max Aria#Jacqui Holland#Preston James Hillier#Al Burke","410","-"
"tt2363385","Silveraven","2012","-","-","4.7","Samar Karkar#Basma Al Mudaifa#Zeeshan Jawed Shah","Mohammed Junaid#Ahmed Zayani#Razan Jamal#Sanad Karker","23","-"
"tt0770778","King of the Avenue","2010","R","83 min","3.9","Ryan Combs","Ving Rhames#Simon Rex#Esai Morales#Erick Nathan","534","-"
"tt0082626","A Monstrous Corpse","1981","-","85 min","5.3","Beom-gu Kang","Kwang-ok Yu#Myeong Kang#Am Park#Pauline Yuk-Wan Wong","62","-"
"tt13575952","The Unburied Corpse","2020","-","84 min","5","Alejandro Cohen Arazi","Demián Salomón#Héctor Alba#Mirta Busnelli#Fernando Miasnik","54","-"
"tt0122318","Fei tou mo nu","1982","-","92 min","6.2","Jen-Chieh Chang","Hsiu-Chen Chen#Shang-Chien Liu#Chang Ma#Ling-Tzu Chin","125","-"
"tt0454515","The Noah","1975","R","107 min","6.3","Daniel Bourla","Robert Strauss#Geoffrey Holder#Sally Kirkland#Jim Blackmore","389","-"
"tt0458227","Hatsujô kateikyôshi: Sensei no aijiru","2003","-","90 min","5.8","Mitsuru Meike","Kyôko Hayami#Kikujirô Honda#Yukijirô Hotaru#Yûichi Ishikawa","742","4994"
"tt5862454","Winter Thaw","2016","-","53 min","7.7","Adam Thomas Anderegg","John Rhys-Davies#Karl Johnson#Valentin Novopolskij#Egle Spokaite","188","-"
"tt0050867","Pulgarcito","1958","-","85 min","6.3","René Cardona","María Elena Marqués#José Elías Moreno#Cesáreo Quezadas 'Pulgarcito'#Manuel Dondé","72","-"
"tt6423658","Nevermoor","-","-","-","-","Michael Gracey","-","-","-"
"tt1465493","Hum Tum Aur Ghost","2010","-","125 min","4.9","Kabeer Kaushik","Arshad Warsi#Dia Mirza#Boman Irani#Sandhya Mridul","711","-"
"tt0059172","Left-Handed Fate","1966","-","84 min","5.5","Vicente Aranda","Teresa Gimpera#Marianne Benet#Marcos Martí#Antonio Ferrandis","196","-"
"tt0087580","Král Drozdia Brada","1984","-","90 min","6.9","Miloslav Luther","Adriana Tarábková#Lukás Vaculík#Maria Schell#Gerhard Olschewski","312","-"
"tt1576703","Xuxa and the Mystery of the Little Ugly Princess","2009","-","82 min","2.5","Tizuka Yamasaki","Xuxa#Sasha Meneghel#Dani Valente#Luciano Szafir","395","-"
"tt3236572","Skull Island: Blood of the Kong","-","-","-","-","-","-","-","-"
"tt0114312","The Fateful Day","1995","-","105 min","7.3","Shahram Assadi","Ali Reza Shoja'noori#Ladan Mostofi#Jamshid Mashayekhi#Hamid Abdolmaleki","653","-"
"tt5473992","Way Bad Stone","1991","-","84 min","4.9","Archie Waugh","Robert Applegate#Barrie Blankenship#Cory Boyas#Steven L. Guthrie","10","-"
"tt0278332","The Adventures of Pinocchio","1936","-","60 min","6.9","Umberto Spano#Raoul Verdini","-","27","-"
"tt0082762","To Hell with the Devil","1982","-","88 min","5.3","John Woo","Pak-Cheung Chan#Paul Chun#Fat Chung#Stanley Sui-Fan Fung","146","-"
"tt2910888","Alice in Marialand","2014","-","88 min","5","Jesús Magaña Vázquez","Bárbara Mori#Claudio Lafarga#Stephanie Sigman#Angélica Aragón","129","-"
"tt0082478","Grendel Grendel Grendel","1981","-","88 min","6.8","Alex Stitt","Peter Ustinov#Keith Michell#Arthur Dignam#Ed Rosser","197","-"
"tt14321222","Leizhenzi: The Origin of the Gods","2021","-","93 min","5.2","-","-","14","-"
"tt5153260","Kryptonite","2015","-","80 min","5.4","Nicanor Loreti","Diego Velázquez#Juan Palomino#Susana Varela#Nicolás Vázquez","709","-"
"tt0306444","Aida degli alberi","2001","-","75 min","5.9","Guido Manuli","Vittorio Bestoso#Massimo Bitossi#Simone D'Andrea#Ivo De Palma","252","-"
"tt5804206","Zvyozdniy vors","2012","-","115 min","6.5","Andrey Kagadeev#Nikolay Kopeykin","Andrey Kagadeev#Nikolay Kopeykin#Siarhei Mikhalok#Roman Maksimov","61","-"
"tt14564384","Badass Bunyip","2021","-","-","2.6","Gerardo Chierchia","David Black#Anastasia C. Kouloukas#Benji Wragg#Glen Cook","87","-"
"tt6816552","The Boy Who Stole the World","-","-","120 min","-","David Noel Bourke","Lars Mikkelsen#Harald Kaiser Hermann#Kasper Leisner#Mia Lerdam","-","-"
"tt1468322","Oblivion Island: Haruka and the Magic Mirror","2009","TV-G","93 min","6.8","Shinsuke Sato","Christine Marie Cabanos#Patrick Seitz#Julie Maddalena#Julie Ann Taylor","735","-"
"tt2258399","Iconoclast","2012","Not Rated","98 min","1.5","Sean-Michael Argo","Stellar Kristel#Evangeline Leigh-Kendall#Sean-Michael Argo#Matt Yeager","145","-"
"tt0077760","Jaganmohini","1978","Not Rated","163 min","6.7","B. Vittalacharya","Jayamalini#Narasimha Raju#Prabha#Vijayalakshmi","41","-"
"tt0165230","Diamond Ninja Force","1988","PG-13","92 min","3.5","Godfrey Ho","Richard Harrison#Melvin Pitcher#Andy Chworowsky#Pierre Tremblay","203","-"
"tt9349046","Umbilical World","2018","-","79 min","7.8","David Firth","David Firth#Paul MacKenzie#Christian Webb","105","-"
"tt2139913","Kamen Rider 555: Paradise Lost","2003","-","81 min","7.2","Ryuta Tasaki","Kento Handa#Yuria Haga#Ken Mizorogi#Kôhei Murakami","165","-"
"tt0235618","The Nine Lives of Tomas Katz","2000","-","87 min","6.9","Ben Hopkins","Tom Fisher#Ian McNeice#Tony Maudsley#Will Keen","1148","-"
"tt0884853","Black Gruya and the Stone of Wisdom","2007","-","98 min","6.7","Marko Marinkovic","Nenad Jezdic#Nikola Kojo#Boris Milivojevic#Marinko Madzgalj","1785","-"
"tt0202267","Book of Swords","1996","-","84 min","4.1","Peter Allen","Ho-Sung Pak#Liesl Lombardo#Richard Divizio#Taimak","383","-"
"tt0383720","Xin A Li Ba Ba","1988","-","90 min","7","Chun-Liang Chen#Yang-Ming Tsai","Chin Chyi#Lin Yang#Eric Tsang#An An","20","-"
"tt8106212","Dragon Ball Z: The Movie","1998","-","-","7.1","Yoshihiro Ueda#Shigeyasu Yamauchi","-","54","-"
"tt0007107","The Mysteries of Myra","1916","-","-","6.5","Leopold Wharton#Theodore Wharton","Jean Sothern#Howard Estabrook#Allan Murnane#M.W. Rale","31","-"
"tt0269603","La fille à la fourrure","1978","-","85 min","5.2","Claude Pierson","Didier Aubriot#Alain Saury#Ursula White#Barbara Moose","61","-"
"tt12628992","Frosty the Snowman","-","-","-","-","-","-","-","-"
"tt5572856","Tournament","2018","-","82 min","4.5","Patricia DiSalvo Viayra","Marisa Davila#Ricardo Chavira#Doua Moua#Marwan Salama","127","-"
"tt6217958","Divine Will","2017","PG","114 min","6.1","Ken Jones","Lee Roessler#Brent Reed#Kathryn Boswell#Kat Moser","57","-"
"tt0981352","Ulak","2008","-","109 min","6.7","Çagan Irmak","Çetin Tekindor#Hümeyra#Yetkin Dikinciler#Serif Sezer","4740","-"
"tt9071552","Thelma","-","-","-","-","Craig Gillespie","-","-","-"
"tt3726014","Koothara","2014","-","144 min","5.2","Srinath Rajendran","Mohanlal#Bharath Srinivasan#Sunny Wayne#Tovino Thomas","556","-"
"tt0114040","Once in a Blue Moon","1995","PG","96 min","5.7","Philip Spink","Cody Serpa#Simon Baker#Deanna Milligan#Mike MacDonald","173","-"
"tt0222961","El chanfle II","1982","-","90 min","6.3","Roberto Gómez Bolaños","Roberto Gómez Bolaños#Florinda Meza#María Antonieta de las Nieves#Rubén Aguirre","291","-"
"tt15881700","Anxious.","-","-","95 min","-","Nida Chowdhry","Maaz Ali#Cameron Crosby#Saman Hasan#Timothy Waldron","-","-"
"tt23040384","Fantasmata tis Epanastasis","2022","-","101 min","6","Thanos Anastopoulos","Georges Corraface#Penelope Tsilika#Paolo Rossi#Aineias Tsamatis","18","-"
"tt0028632","Skeleton on Horseback","1937","-","78 min","7.5","Hugo Haas","Hugo Haas#Bedrich Karen#Zdenek Stepánek#Václav Vydra","346","-"
"tt3611112","A Sunday Kind of Love","2016","-","93 min","4.9","Geordie Sabbagh","Dylan Taylor#Melanie Scrofano#Meghan Heffern#Benjamin Ayres","158","-"
"tt8839502","She's from Another Planet","2016","-","82 min","6.6","Yunxiang Lin#Ming Ye","Zhuo Wen#Yang Zou#Xiaotian Tian#Xiyue Cao","13","-"
"tt0159443","Five Star Stories","1989","-","65 min","6.1","Kazuo Yamazaki","Ryô Horikawa#Kazuhiko Inoue#Maria Kawamura#Ichirô Nagai","333","-"
