"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt1379651","The Gertrude Stein Mystery or Some Like It Art","2010","Not Rated","90 min","4.8","Philippe Mora","Jonathan Ball#Rena Riffel#Hoyt Richards#John Dennis Johnston","11","-"
"tt5915744","The Zone","2017","-","80 min","-","Denys Desjardins#Syned Sindrajed","Catherine Dumas#Renee Madeline Le Guerrier#Vlasta Vrana","-","-"
"tt9770448","Slave in the House","-","-","-","-","-","-","-","-"
"tt9441190","The Book of Revenge","-","-","-","-","Kai Ephron","-","-","-"
"tt5662358","The Legend of Cato Dupree","-","-","-","-","-","-","-","-"
"tt20770398","Newton","-","-","-","-","-","-","-","-"
"tt0102739","¡Que vivan los crotos!","1995","-","75 min","6.9","Ana Poliak","Oscar Mendy#Jose Americo Ghezzi#Pedro Moisas#Filiberto Satti","48","-"
"tt12159434","Alexander I: Into the Woods","2017","-","58 min","-","Sasha Yevtushenko","Charlie Anson#Kenneth Collard#Simon Ludders#Joel MacCormack","-","-"
"tt9084682","Gracias Gauchito","2018","-","98 min","5.5","Cristian Jure","Majo Cabrera#Diego Cremonesi#Dani Gonzalez#Lali Gonzalez","12","-"
"tt5310246","Addour","2017","-","90 min","9.3","Ahmed Baidou","Hasan Badidah#Latifah Ahrar#Hocien Bardaouz#Hassan Alioui","7","-"
"tt0062332","Ta nase písnicka ceská","1967","-","75 min","6.5","Zdenek Podskalský","Jirina Bohdalová#Pavlína Filipovská#Milos Kopecký#Waldemar Matuska","22","-"
"tt8390764","Encounter in Rendlesham Forest","-","-","-","-","-","-","-","-"
"tt0017902","Foreign Devils","1927","-","50 min","4.6","W.S. Van Dyke","Tim McCoy#Claire Windsor#Cyril Chadwick#Frank Currier","14","-"
"tt0023901","Colonel Blood","1934","-","98 min","-","W.P. Lipscomb","Frank Cellier#Anne Grey#Mary Lawson#Allan Jeayes","-","-"
"tt10871578","Il conte magico","2019","-","84 min","-","Marco Melluso#Diego Schiavo","Roberta Giallo#Luciano Manzalini#Ivano Marescotti#Antonio Pisu","-","-"
"tt0032734","Lucrezia Borgia","1940","-","76 min","4.6","Hans Hinrich","Isa Pola#Friedrich Benfer#Carlo Ninchi#Nerio Bernardi","31","-"
"tt0030701","A Royal Divorce","1938","-","85 min","-","Jack Raymond","Ruth Chatterton#Pierre Blanchar#Frank Cellier#Carol Goodner","-","-"
"tt11374574","Musa Dgalil","-","-","-","-","-","-","-","-"
"tt0461848","Takaya dlinnaya, dlinnaya doroga","1972","-","61 min","6.9","Viktor Okuntsov","Pavel Luspekayev#Emmanuil Vitorgan#Mikhail Khrabrov#Georgiy Kolosov","141","-"
"tt0026648","The Magnificent Rogue","1935","-","80 min","5","Guido Brignone","Alexander Moissi#Camillo Pilotto#Umberto Palmarini#Germana Paolieri","15","-"
"tt3999294","Sur leurs traces","-","-","-","-","Patrick Delfosse","Vincent Doms#Mikael Sladden","-","-"
"tt14251730","Pou sai more Nikitara","2021","-","60 min","7.6","Theodoros Kolovos","Leonardo Thimo#Theodoros Kolovos#Panagiotis Arvanitis#Emmanouela Zafeiroudi","21","-"
"tt6363184","Lala Hardaul","2012","-","147 min","8.4","Devendra Bhagat#Sachendra Choubey#Divyanka Tripathi Dahiya#Prince Khan","-","15","-"
"tt2671160","Influence","-","-","-","-","-","-","-","-"
"tt6256998","Intoxicated Eye","2020","-","99 min","5.4","Jalal Aldin Dori","Saeed Poursamimi#Mahdi Pakdel#Mitra Hajjar#Siamak Safari","54","-"
"tt0047418","Ripudiata","1955","-","-","-","Giorgio Walter Chili","Hélène Rémy#Alberto Farnese#Giuseppe Addobbati#Laura Nucci","-","-"
"tt11295104","The Divine Chronicles","-","-","-","-","-","-","-","-"
"tt11333306","Once Upon A Time in Australia","-","-","-","-","Storm Ashwood","-","-","-"
"tt2371437","Saga drevnikh bulgar. Skazanie Olgi Svyatoy","2005","-","165 min","-","Bulat Mansurov","Donatas Banionis#Tatyana Borisova#Juozas Budraitis#Elina Bystritskaya","-","-"
"tt10138126","The Last Heretic","-","-","120 min","-","Rowan M. Ashe","-","-","-"
"tt12326604","Erros Meus, Má Fortuna, Amor Ardente","-","-","88 min","-","Tiago Durão","Sofia Mirpuri#Sérgio Coragem#Teresa Côrte-Real#Patrícia Duarte","-","-"
"tt1588299","The Delicate Nature","2009","-","90 min","8.2","Dillon Davies","Adam Kenitzer#Matt Twedt#Kristi Zuelke#Rebecca Eubank","10","-"
"tt2746232","Bronze","2015","-","81 min","6.9","Claudio Perrin","Miguel Bosco#Claudia Schujman","14","-"
"tt6112302","The Raid on the Ottoman Bank","-","-","-","-","-","-","-","-"
"tt3318088","476 A.D. Chapter Two: The Dawning of the Age of Pisces","2016","-","90 min","8.2","Ivan Pavletic","Luckson Bonhomme#Anthony Cubba#Kirsten Deane#Jason Delancy","14","-"
"tt2089849","Veeraputhran","2011","-","-","6.7","P.T. Kunju Muhammad","Devan#Lakshmi Gopalaswamy#Kalabhavan Mani#Valsala Menon","15","-"
"tt1825929","Randgänger","2012","-","87 min","-","Renate Woltron","Michael Thomas#Manuel Girisch#Oliver de la Varre#Renate Woltron","-","-"
"tt15238110","Eight Years","-","-","-","-","-","-","-","-"
"tt0008319","A Mormon Maid","1917","-","68 min","6","Robert Z. Leonard","Mae Murray#Frank Borzage#Hobart Bosworth#Edythe Chapman","102","-"
"tt0803001","Gräfin Walewska","1922","-","-","-","Otto Rippert","Hella Moja#Rudolf Lettinger#Arnold Czempin#Anton Edthofer","-","-"
"tt19382416","Sigiri Kashyapa","1966","-","-","-","Bandu Gunasekara#Premnath Moraes","Joe Abeywickrama#Udula Dabare#David Dharmakirthi#Baptist Fernando","-","-"
"tt0066354","Serdtse Rossii","1971","-","101 min","-","Vera Stroyeva","Vladimir Tatosov#Aleksandr Gai#Sergei Desnitsky#Vladimir Kuznetsov","-","-"
"tt3898700","Fu Tou Bang Quan Qi","2013","-","95 min","-","Dun Xun Jie","Christian 'Kang' Bachini#Dun Xun Jie#Jiang Li#Shi Mei Li","-","-"
"tt0252961","Buddha Dev","1923","-","-","-","Dhundiraj Govind Phalke","Anna Salunke#Bhaurao Datar","-","-"
"tt0325417","The Cradle of the Washingtons","1918","-","82 min","-","Arthur Branscombe","Maud Yates#Cecil Morton York","-","-"
"tt6083398","A király halála","2016","-","52 min","-","Róbert Pajer","Péter Kálloy Molnár#Barnabás Timon#Léda Mezei#Tamás Sághy","-","-"
"tt18926812","Eine Literaturverfilmung","2022","-","360 min","-","Philipp von Gönitzer","-","-","-"
"tt1852179","Ye Mothers","2010","-","90 min","-","Anil Chaudhary","Amit Banerjee#Tanya Banerji#Nachiket Chandra#Shreya Chaudhary","-","-"
"tt0038906","Sangue a Ca' Foscari","1946","-","93 min","-","Max Calandri","Massimo Serato#Inge Borg#Max Breier#Tatiana Farnese","-","-"
"tt10333364","Boop vs Boop","-","-","-","-","-","-","-","-"
"tt15663302","The Samurai of Edo","1955","-","123 min","-","Eisuke Takizawa","Michiyo Aratama#Rentarô Mikuni#Michiko Saga#Ryutaro Tatsumi","-","-"
"tt8510322","Shaolin Wolf-Man","-","-","-","-","-","-","-","-"
"tt9546562","Magie des Étoiles","2019","-","75 min","-","Matthew S. Findley","Josephine Okujeni#Sharon Im#Ahku#Meth Bandara","-","-"
"tt0007838","Darkest Russia","1917","-","50 min","-","Travers Vale","Alice Brady#John Bowers#J. Herbert Frank#Norbert Wicki","-","-"
"tt2179910","American Homestead","-","-","-","-","Joseph Matarrese","-","-","-"
"tt4476740","Fils De Grece: Children of Greece","2015","-","152 min","-","Dionysis Grigoratos","Maria Egre#Olympia Gelodari#Olympia Gelodari#Petros Giasemis","-","-"
"tt21612554","Freedom Code","-","-","-","-","Tonya Pinkins","-","-","-"
"tt9088226","Azad","-","-","122 min","-","Megastar Maharishi","Megastar Maharishi","-","-"
"tt0193709","Alishan feng yun","1950","-","46 min","-","Ying Chang#Cheh Chang","Tien-Hung Lan#Ying Lee#Bing Tsui#Chien-Hsi Chang","-","-"
"tt1042463","Adhiar","2003","-","-","7.1","Saidul Anam Tutul","Litu Anam#Raisul Islam Asad#Pijush Bandyopadhyay#Champa","20","-"
"tt21157374","The Two Crowns","-","-","-","-","-","-","-","-"
"tt4582146","Yeshua","-","-","180 min","-","S.V. Henson Jr.#Elijah Chakam","-","-","-"
"tt0066509","Unterwegs zu Lenin","1969","-","107 min","6.9","Günter Reisch#Lucia Ochrimenko","Gottfried Richter#Mikhail Ulyanov#Helmut Habel#Lev Kruglyy","22","-"
"tt10048626","Veronika in Friderik","2009","-","-","-","Klemen Dvornik","Jure Ivanusic#Tina Vrbnjak#Matej Recer#Bozo Kristan","-","-"
"tt1849107","Takamine","2011","-","105 min","-","Tôru Ichikawa","Hatsunori Hasegawa#Saburô Shinoda#Hiroyuki Watanabe#Misato Tanaka","-","-"
"tt0005860","The Pageant of San Francisco","1915","-","-","-","Earle Emlay","-","-","-"
"tt6689322","Karmeliuk","1938","-","80 min","5.6","Georgi Tasin","Aleksandr Khvylya#P. Radetskiy#Natalya Uzhviy#Yevgeni Ponomarenko","8","-"
"tt1111270","Prince Arsalan","1966","-","117 min","6.1","Esmail Koushan","Mohamad Ali Fardin#Farzneh#Manoochehr Nozari#Hossein Mohseni","53","-"
"tt14570354","Hurry Freedom","-","-","-","-","-","-","-","-"
