"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt2297164","Doomsday Book","2012","Not Rated","115 min","5.8","Jee-woon Kim#Pil-sung Yim","Gwi-hwa Choi#Choi Deok-moon#Ma Dong-seok#Bae Doona","3436","-"
"tt1147519","Doraemon: Nobita's Great Adventure in the South Seas","1998","-","100 min","6.9","Tsutomu Shibayama","Nobuyo Ôyama#Noriko Ohara#Michiko Nomura#Kaneta Kimotsuki","490","-"
"tt0050210","The Brain from Planet Arous","1957","Approved","71 min","5.2","Nathan Juran","John Agar#Joyce Meadows#Robert Fuller#Thomas Browne Henry","1679","-"
"tt1376247","Space Girls in Beverly Hills","2009","Not Rated","94 min","3.1","Tim Colceri","Donna Spangler#Allie Moss#Brittan Taylor#Tim Colceri","156","-"
"tt0070631","Santo vs. Doctor Death","1973","-","95 min","5.8","Rafael Romero Marchent","Santo#Carlos Romero Marchent#Helga Liné#George Rigaud","175","-"
"tt8096846","White Plastic Sky","2023","-","110 min","-","Tibor Bánóczki#Sarolta Szabó","Renátó Olasz#Márton Patkós#Zsolt Nagy#Zsófia Szamosi","-","-"
"tt5790218","Archons","2018","-","88 min","3.9","Nick Szostakiwskyj","Josh Collins#Rob Raco#Samantha Carly#Parmiss Sehat","393","-"
"tt0135037","Venus Wars","1989","Not Rated","103 min","6.6","Yoshikazu Yasuhiko","Katsuhide Uekusa#Yûko Mizutani#Eriko Hara#Yûko Sasaki","1812","-"
"tt0106545","Future Cops","1993","Not Rated","95 min","5.9","Jing Wong","Andy Lau#Jacky Cheung#Aaron Kwok#Chingmy Yau","1366","-"
"tt1986953","Storage 24","2012","R","87 min","4.5","Johannes Roberts","Noel Clarke#Colin O'Donoghue#Antonia Campbell-Hughes#Laura Haddock","7258","-"
"tt0080062","Unidentified Flying Oddball","1979","G","93 min","5.2","Russ Mayberry","Dennis Dugan#Jim Dale#Ron Moody#Kenneth More","1249","-"
"tt0045064","Radar Men from the Moon","1952","Approved","167 min","4.6","Fred C. Brannon","George D. Wallace#Aline Towne#Roy Barcroft#William Bakewell","1122","-"
"tt6448032","Pororo3: Cyber Space Adventure","2015","-","90 min","6.4","Chanwook Park#Young Kyun Park","Hong Bum-ki#Su Jung Ham#So-Young Hong#Hwan Chin Kim","23","-"
"tt0086026","Extra Terrestrial Visitors","1983","-","80 min","2","Juan Piquer Simón","Ian Sera#Nina Ferrer#Susana Bequer#Sara Palmer","4632","-"
"tt0097874","Metamorphosis","1990","R","96 min","3.9","George Eastman","Gene LeBrock#Catherine Baranov#Harry Cason#David Wicker","962","-"
"tt0021016","Just Imagine","1930","Passed","113 min","5.4","David Butler","El Brendel#Maureen O'Sullivan#John Garrick#Marjorie White","792","-"
"tt15404268","Snow, Tea and Love","2021","-","115 min","5.7","Catalin Bugean","Monica Anghel#Florin Busuioc#Paula Chirila#Sergiu Costache","1177","-"
"tt0079971","Supersonic Man","1979","Not Rated","88 min","3.1","Juan Piquer Simón","Antonio Cantafora#Cameron Mitchell#José Luis Ayestarán#Diana Polakov","1011","-"
"tt1147508","Doraemon: Nobita's Dorabian Nights","1991","-","99 min","7.2","Tsutomu Shibayama","Nobuyo Ôyama#Noriko Ohara#Michiko Nomura#Kaneta Kimotsuki","725","-"
"tt1948581","Erotibot","2011","-","72 min","3.6","Naoyuki Tomomatsu","Mahiro Aine#Maria Ozawa#Yasunori Tanaka#Fukuten","314","-"
"tt5891062","The Brain That Wouldn't Die","2020","-","97 min","7.1","Derek Carl","Rachael Perrell Fosket#Patrick D. Green#David Withers#Jason Reynolds","87","-"
"tt0112764","Cyber Vengeance","1995","-","94 min","3.4","J. Christian Ingvordsen","Robert Davi#Matthias Hues#J. Gregory Smith#Josh Mosby","245","-"
"tt0094632","Transformations","1988","R","84 min","3.9","Jay Kamen","Rex Smith#Lisa Langlois#Patrick Macnee#Christopher Neame","466","-"
"tt0052379","War of the Satellites","1958","Approved","66 min","5.1","Roger Corman","Dick Miller#Susan Cabot#Richard Devon#Eric Sinclair","1015","-"
"tt3959690","Raiders of the Lost Shark","2015","Not Rated","71 min","1.7","Brett Kelly","Candice Lidstone#Jessica Huether#Catherine Mary Clark#Lawrence Evenchick","928","-"
"tt7498092","Ellipse","2019","-","76 min","2.7","Joe Bland#Grant Martin","Josiah Authier#Grant Martin#Michelle Medoff#Jack William","258","-"
"tt5110386","One Under the Sun","2017","TV-14","101 min","3.5","Riyaana Hartley#Vincent Tran","Pooja Batra#Gene Farber#Michael Keeley#Ava Cantrell","649","-"
"tt1571235","The Lady Shogun and Her Men","2010","-","116 min","6.2","Fuminori Kaneko","Ko Shibasaki#Kazunari Ninomiya#Hiroshi Tamaki#Maki Horikita","422","-"
"tt0051413","The H-Man","1958","Approved","79 min","6","Ishirô Honda","Yumi Shirakawa#Kenji Sahara#Akihiko Hirata#Eitarô Ozawa","1501","-"
"tt0075888","The Crater Lake Monster","1977","PG","85 min","3.5","William R. Stromberg","Richard Cardella#Glen Roberts#Mark Siegel#Bob Hyman","1588","-"
"tt1705134","State of Emergency","2011","Not Rated","90 min","5.2","Turner Clay","Jay Hayden#Tori White#Scott Lilly#Kathryn Todd Norman","3081","-"
"tt7797658","Awe!","2018","-","150 min","7.6","Prasanth Varma","Kajal Aggarwal#Nithya Menen#Srinivas Avasarala#Regina Cassandra","5376","-"
"tt6197400","Cross: Rise of the Villains","2019","R","100 min","2","Patrick Durham#Paul G. Volk","Brian Austin Green#Lori Heuring#Patrick Durham#Tim Abell","333","-"
"tt0485799","Creature from the Black Lagoon","-","-","79 min","-","-","-","-","-"
"tt7740204","Exodus","2021","-","75 min","2.7","Logan Stone","Jimi Stanton#Janelle Snow#Charles Andrew Gardner#James Lloyd McKinney","347","-"
"tt0048256","King Dinosaur","1955","Not Rated","63 min","2.1","Bert I. Gordon","William Bryant#Wanda Curtis#Douglas Henderson#Patti Gallagher","1528","-"
"tt2697688","Half-Life","-","-","-","-","-","-","-","-"
"tt13598996","Trapped Inn","-","-","-","-","Leah Sturgis","Matt Rife#Oliver Trevena#Brian Gross#Robert Palmer Watkins","-","-"
"tt1543211","Godzilla","1977","-","106 min","5.3","Luigi Cozzi#Ishirô Honda#Terry O. Morse#Kurt Neumann#Motoyoshi Oda#Val Guest#Eugène Lourié#Arthur Penn","Raymond Burr#Mikel Conrad#Paul Frees#Akihiko Hirata","495","-"
"tt3949650","Doraemon: New Nobita's Great Demon-Peko and the Exploration Party of Five","2014","-","109 min","6.8","Shinnosuke Yakuwa","Yumi Kakazu#Subaru Kimura#Yû Kobayashi#Wasabi Mizuta","954","-"
"tt5342650","Reset","2017","-","105 min","5.3","Hong-Seung Yoon","Mi Yang#Wallace Huo#Shih-Chieh King#Chang Liu","1326","-"
"tt5034276","The Phone","2015","Not Rated","115 min","6.5","Kim Bong-Joo","Sung-Woo Bae#Son Hyeon-ju#Kwon Hyuk-bum#Lim Il-Gyu","1082","40516"
"tt0996979","Alien Raiders","2008","R","85 min","5.6","Ben Rock","Carlos Bernard#Mathew St. Patrick#Rockmond Dunbar#Courtney Ford","8899","-"
"tt0097292","Hard to Be a God","1989","-","119 min","6.5","Peter Fleischmann","Edward Zentara#Aleksandr Filippenko#Hugues Quester#Anne Gautier","1166","-"
"tt0062036","Night Fright","1967","Unrated","75 min","2.7","James A. Sullivan","John Agar#Carol Gilley#Ralph Baker Jr.#Dorothy Davis","947","-"
"tt0024727","The Vampire Bat","1933","Passed","65 min","5.7","Frank R. Strayer","Lionel Atwill#Fay Wray#Melvyn Douglas#Maude Eburne","2763","-"
"tt0080962","Jishin rettô","1980","-","126 min","4.8","Kenjirô Ohmori","Hiroshi Katsuno#Toshiyuki Nagashima#Yumi Takigawa#Kayo Matsuo","197","-"
"tt2923834","The Last Scout","2017","-","107 min","4.2","Simon Phillips","Blaine Gray#Simon Phillips#Rebecca Ferdinando#Deji LaRay","2167","-"
"tt0163563","Bullet Ballet","1998","Not Rated","87 min","7","Shin'ya Tsukamoto","Shin'ya Tsukamoto#Kirina Mano#Tatsuya Nakamura#Takahiro Murase","2796","-"
"tt0972558","Dark Planet","2008","TV-PG","115 min","5.1","Fedor Bondarchuk","Vasiliy Stepanov#Yulia Snigir#Pyotr Fyodorov#Sergey Garmash","5606","-"
"tt0113140","Galaxis","1995","R","91 min","3.5","William Mesa","Brigitte Nielsen#Richard Moll#John H. Brennan#Roger Aaron Brown","1071","-"
"tt0056499","The Slime People","1963","Unrated","76 min","2.8","Robert Hutton","Robert Hutton#Les Tremayne#Robert Burton#Susan Hart","1491","-"
"tt2060525","Manborg","2011","Not Rated","70 min","5.5","Steven Kostanski","Matthew Kennedy#Adam Brooks#Meredith Sweeney#Conor Sweeney","2765","-"
"tt3877590","Being","2019","-","85 min","3.1","Douglas C. Williams","Robert John Burke#Lance Henriksen#Ben Browder#Ahd","202","-"
"tt0181549","Furia","1999","-","90 min","5.4","Alexandre Aja","Stanislas Merhar#Marion Cotillard#Wadeck Stanczak#Pierre Vaneck","652","-"
"tt0060741","The Navy vs. the Night Monsters","1966","Not Rated","87 min","3.6","Michael A. Hoey#Jon Hall#Arthur C. Pierce","Mamie Van Doren#Anthony Eisley#Billy Gray#Bobby Van","744","-"
"tt14593608","Sky Peals","-","-","-","-","Moin Hussain","Faraz Ayub#Natalie Gavin#Claire Rushbrook#Simon Nagra","-","-"
"tt1455816","Prince","2010","Not Rated","138 min","4.4","Kookie Gulati","Vivek Oberoi#Isaiah#Aruna Shields#Nandana Sen","2235","-"
"tt0114824","Vampire Vixens from Venus","1995","R","90 min","2.9","Ted A. Bohus","Leon Head#Michelle Bauer#Theresa Lynn#J.J. North","241","-"
"tt3615814","Bikini Girls v Dinosaurs","2014","Not Rated","52 min","2.3","Kenneth D. Barker","Agne Adomulyte#Vicki Glover#Waleed Khalid#Cheri La May","162","-"
"tt8458534","Time Loop","2019","TV-14","83 min","3.7","Ciro Sorrentino","Sam Gittins#Mino Sferra#Ellie Poussot#Eliana Manvati","605","-"
"tt1774607","The Family Complete","2010","-","106 min","5.9","Kôichi Imaizumi","Jinta Fujimaru#Hotaru#Kôichi Imaizumi#Takahiro Inoue","95","-"
"tt0106983","Future Shock","1994","PG-13","98 min","4.2","Eric Parkinson#Matt Reeves#Oley Sassone","Vivian Schilling#Martin Kove#Brion James#Sydney Lassick","497","-"
"tt1972636","Death Run","1987","-","70 min","4.3","Michael J. Murphy","Rob Bartlett#Debbi Stevens#Eddie Kirby#Wendy Parsons","190","-"
"tt2005363","Tekken: Blood Vengeance","2011","TV-14","100 min","5.8","Yoichi Mori","Isshin Chiba#Unshô Ishizuka#Yuki Matsuoka#Mamoru Miyano","5683","-"
"tt0059464","Monster a Go-Go","1965","TV-PG","68 min","1.8","Bill Rebane#Herschell Gordon Lewis","Philip Morton#June Travis#George Perry#Lois Brooks","9893","-"
"tt1147687","The Devil's Tomb","2009","R","90 min","3.7","Jason Connery","Cuba Gooding Jr.#Ray Winstone#Ron Perlman#Taryn Manning","6958","-"
"tt0053095","The Head","1959","-","97 min","5.3","Victor Trivas","Horst Frank#Karin Kernke#Helmut Schmid#Paul Dahlke","748","-"
"tt12637828","Detroit Evolution","2020","-","75 min","6.5","Michelle Iannantuono","Maximilian Koger#Christopher Trindade#Jillian Geurts#Michael Smallwood","247","-"
"tt15040492","Abduction of the Fourth Kind","2022","-","92 min","7.4","Brett Wilson Sr.","Jonathan Joss#Keekee Suki#Sai Piña#Brian D. Anderson","10","-"
"tt0095608","Meet the Hollowheads","1989","PG-13","86 min","5.3","Thomas R. Burman","John Glover#Nancy Mette#Richard Portnow#Matt Shakman","791","-"
"tt0078317","Star Odyssey","1979","-","103 min","2.8","Alfonso Brescia","Yanti Somer#Gianni Garko#Malisa Longo#Chris Avram","694","-"
"tt0090968","Dr. Otto and the Riddle of the Gloom Beam","1985","PG","97 min","5","John R. Cherry III","Jim Varney#Glenn Petach#Myke R. Mueller#Jackie Welch","668","-"
"tt4882964","Erased","2016","-","120 min","6.4","Yûichirô Hirakawa","Tamae Andô#Kasumi Arimura#Yasushi Fuchikami#Kôta Fudauchi","899","-"
"tt4279116","Alien Invasion: S.U.M.1","2017","TV-MA","92 min","4.2","Christian Pasquariello","Iwan Rheon#André Hennicke#Rainer Werner#Zoe Grisedale-Sherry","1572","-"
